location,date,vaccine,total_vaccinations
Argentina,29-12-2020,Moderna,2
Argentina,29-12-2020,Oxford/AstraZeneca,3
Argentina,29-12-2020,Sinopharm/Beijing,1
Argentina,29-12-2020,Sputnik V,20481
Argentina,30-12-2020,Moderna,2
Argentina,30-12-2020,Oxford/AstraZeneca,3
Argentina,30-12-2020,Sinopharm/Beijing,1
Argentina,30-12-2020,Sputnik V,40583
Argentina,31-12-2020,Moderna,2
Argentina,31-12-2020,Oxford/AstraZeneca,3
Argentina,31-12-2020,Sinopharm/Beijing,1
Argentina,31-12-2020,Sputnik V,43388
Argentina,01-01-2021,Moderna,2
Argentina,01-01-2021,Oxford/AstraZeneca,5
Argentina,01-01-2021,Sinopharm/Beijing,1
Argentina,01-01-2021,Sputnik V,43513
Argentina,02-01-2021,Moderna,2
Argentina,02-01-2021,Oxford/AstraZeneca,6
Argentina,02-01-2021,Sinopharm/Beijing,1
Argentina,02-01-2021,Sputnik V,46824
Argentina,03-01-2021,Moderna,2
Argentina,03-01-2021,Oxford/AstraZeneca,6
Argentina,03-01-2021,Sinopharm/Beijing,1
Argentina,03-01-2021,Sputnik V,47266
Argentina,04-01-2021,Moderna,2
Argentina,04-01-2021,Oxford/AstraZeneca,6
Argentina,04-01-2021,Sinopharm/Beijing,1
Argentina,04-01-2021,Sputnik V,57726
Argentina,05-01-2021,Moderna,2
Argentina,05-01-2021,Oxford/AstraZeneca,6
Argentina,05-01-2021,Sinopharm/Beijing,5
Argentina,05-01-2021,Sputnik V,68445
Argentina,06-01-2021,Moderna,2
Argentina,06-01-2021,Oxford/AstraZeneca,6
Argentina,06-01-2021,Sinopharm/Beijing,8
Argentina,06-01-2021,Sputnik V,78551
Argentina,07-01-2021,Moderna,2
Argentina,07-01-2021,Oxford/AstraZeneca,7
Argentina,07-01-2021,Sinopharm/Beijing,8
Argentina,07-01-2021,Sputnik V,96771
Argentina,08-01-2021,Moderna,2
Argentina,08-01-2021,Oxford/AstraZeneca,7
Argentina,08-01-2021,Sinopharm/Beijing,8
Argentina,08-01-2021,Sputnik V,124652
Argentina,09-01-2021,Moderna,2
Argentina,09-01-2021,Oxford/AstraZeneca,7
Argentina,09-01-2021,Sinopharm/Beijing,9
Argentina,09-01-2021,Sputnik V,134860
Argentina,10-01-2021,Moderna,2
Argentina,10-01-2021,Oxford/AstraZeneca,7
Argentina,10-01-2021,Sinopharm/Beijing,10
Argentina,10-01-2021,Sputnik V,136034
Argentina,11-01-2021,Moderna,2
Argentina,11-01-2021,Oxford/AstraZeneca,8
Argentina,11-01-2021,Sinopharm/Beijing,11
Argentina,11-01-2021,Sputnik V,155856
Argentina,12-01-2021,Moderna,2
Argentina,12-01-2021,Oxford/AstraZeneca,8
Argentina,12-01-2021,Sinopharm/Beijing,14
Argentina,12-01-2021,Sputnik V,175239
Argentina,13-01-2021,Moderna,2
Argentina,13-01-2021,Oxford/AstraZeneca,8
Argentina,13-01-2021,Sinopharm/Beijing,18
Argentina,13-01-2021,Sputnik V,192001
Argentina,14-01-2021,Moderna,2
Argentina,14-01-2021,Oxford/AstraZeneca,8
Argentina,14-01-2021,Sinopharm/Beijing,19
Argentina,14-01-2021,Sputnik V,208646
Argentina,15-01-2021,Moderna,2
Argentina,15-01-2021,Oxford/AstraZeneca,8
Argentina,15-01-2021,Sinopharm/Beijing,19
Argentina,15-01-2021,Sputnik V,226081
Argentina,16-01-2021,Moderna,2
Argentina,16-01-2021,Oxford/AstraZeneca,8
Argentina,16-01-2021,Sinopharm/Beijing,19
Argentina,16-01-2021,Sputnik V,231964
Argentina,17-01-2021,Moderna,2
Argentina,17-01-2021,Oxford/AstraZeneca,8
Argentina,17-01-2021,Sinopharm/Beijing,19
Argentina,17-01-2021,Sputnik V,233025
Argentina,18-01-2021,Moderna,2
Argentina,18-01-2021,Oxford/AstraZeneca,8
Argentina,18-01-2021,Sinopharm/Beijing,19
Argentina,18-01-2021,Sputnik V,242856
Argentina,19-01-2021,Moderna,2
Argentina,19-01-2021,Oxford/AstraZeneca,8
Argentina,19-01-2021,Sinopharm/Beijing,20
Argentina,19-01-2021,Sputnik V,256102
Argentina,20-01-2021,Moderna,2
Argentina,20-01-2021,Oxford/AstraZeneca,8
Argentina,20-01-2021,Sinopharm/Beijing,20
Argentina,20-01-2021,Sputnik V,275522
Argentina,21-01-2021,Moderna,2
Argentina,21-01-2021,Oxford/AstraZeneca,13
Argentina,21-01-2021,Sinopharm/Beijing,22
Argentina,21-01-2021,Sputnik V,289629
Argentina,22-01-2021,Moderna,2
Argentina,22-01-2021,Oxford/AstraZeneca,16
Argentina,22-01-2021,Sinopharm/Beijing,23
Argentina,22-01-2021,Sputnik V,298839
Argentina,23-01-2021,Moderna,2
Argentina,23-01-2021,Oxford/AstraZeneca,21
Argentina,23-01-2021,Sinopharm/Beijing,23
Argentina,23-01-2021,Sputnik V,302778
Argentina,24-01-2021,Moderna,2
Argentina,24-01-2021,Oxford/AstraZeneca,22
Argentina,24-01-2021,Sinopharm/Beijing,23
Argentina,24-01-2021,Sputnik V,303080
Argentina,25-01-2021,Moderna,2
Argentina,25-01-2021,Oxford/AstraZeneca,30
Argentina,25-01-2021,Sinopharm/Beijing,23
Argentina,25-01-2021,Sputnik V,317281
Argentina,26-01-2021,Moderna,2
Argentina,26-01-2021,Oxford/AstraZeneca,68
Argentina,26-01-2021,Sinopharm/Beijing,24
Argentina,26-01-2021,Sputnik V,330047
Argentina,27-01-2021,Moderna,2
Argentina,27-01-2021,Oxford/AstraZeneca,70
Argentina,27-01-2021,Sinopharm/Beijing,24
Argentina,27-01-2021,Sputnik V,340149
Argentina,28-01-2021,Moderna,2
Argentina,28-01-2021,Oxford/AstraZeneca,70
Argentina,28-01-2021,Sinopharm/Beijing,24
Argentina,28-01-2021,Sputnik V,356199
Argentina,29-01-2021,Moderna,2
Argentina,29-01-2021,Oxford/AstraZeneca,71
Argentina,29-01-2021,Sinopharm/Beijing,24
Argentina,29-01-2021,Sputnik V,379691
Argentina,30-01-2021,Moderna,2
Argentina,30-01-2021,Oxford/AstraZeneca,71
Argentina,30-01-2021,Sinopharm/Beijing,24
Argentina,30-01-2021,Sputnik V,389003
Argentina,31-01-2021,Moderna,2
Argentina,31-01-2021,Oxford/AstraZeneca,71
Argentina,31-01-2021,Sinopharm/Beijing,25
Argentina,31-01-2021,Sputnik V,389626
Argentina,01-02-2021,Moderna,2
Argentina,01-02-2021,Oxford/AstraZeneca,89
Argentina,01-02-2021,Sinopharm/Beijing,25
Argentina,01-02-2021,Sputnik V,409129
Argentina,02-02-2021,Moderna,2
Argentina,02-02-2021,Oxford/AstraZeneca,122
Argentina,02-02-2021,Sinopharm/Beijing,25
Argentina,02-02-2021,Sputnik V,432967
Argentina,03-02-2021,Moderna,2
Argentina,03-02-2021,Oxford/AstraZeneca,130
Argentina,03-02-2021,Sinopharm/Beijing,28
Argentina,03-02-2021,Sputnik V,459564
Argentina,04-02-2021,Moderna,2
Argentina,04-02-2021,Oxford/AstraZeneca,135
Argentina,04-02-2021,Sinopharm/Beijing,51
Argentina,04-02-2021,Sputnik V,487649
Argentina,05-02-2021,CanSino,3
Argentina,05-02-2021,Moderna,2
Argentina,05-02-2021,Oxford/AstraZeneca,140
Argentina,05-02-2021,Sinopharm/Beijing,58
Argentina,05-02-2021,Sputnik V,520656
Argentina,06-02-2021,CanSino,3
Argentina,06-02-2021,Moderna,2
Argentina,06-02-2021,Oxford/AstraZeneca,140
Argentina,06-02-2021,Sinopharm/Beijing,62
Argentina,06-02-2021,Sputnik V,531576
Argentina,07-02-2021,CanSino,3
Argentina,07-02-2021,Moderna,2
Argentina,07-02-2021,Oxford/AstraZeneca,140
Argentina,07-02-2021,Sinopharm/Beijing,66
Argentina,07-02-2021,Sputnik V,532955
Argentina,08-02-2021,CanSino,3
Argentina,08-02-2021,Moderna,2
Argentina,08-02-2021,Oxford/AstraZeneca,142
Argentina,08-02-2021,Sinopharm/Beijing,67
Argentina,08-02-2021,Sputnik V,556368
Argentina,09-02-2021,CanSino,3
Argentina,09-02-2021,Moderna,2
Argentina,09-02-2021,Oxford/AstraZeneca,144
Argentina,09-02-2021,Sinopharm/Beijing,73
Argentina,09-02-2021,Sputnik V,576556
Argentina,10-02-2021,CanSino,3
Argentina,10-02-2021,Moderna,2
Argentina,10-02-2021,Oxford/AstraZeneca,147
Argentina,10-02-2021,Sinopharm/Beijing,78
Argentina,10-02-2021,Sputnik V,592167
Argentina,11-02-2021,CanSino,3
Argentina,11-02-2021,Moderna,2
Argentina,11-02-2021,Oxford/AstraZeneca,150
Argentina,11-02-2021,Sinopharm/Beijing,84
Argentina,11-02-2021,Sputnik V,610007
Argentina,12-02-2021,CanSino,3
Argentina,12-02-2021,Moderna,2
Argentina,12-02-2021,Oxford/AstraZeneca,151
Argentina,12-02-2021,Sinopharm/Beijing,85
Argentina,12-02-2021,Sputnik V,625833
Argentina,13-02-2021,CanSino,3
Argentina,13-02-2021,Moderna,2
Argentina,13-02-2021,Oxford/AstraZeneca,153
Argentina,13-02-2021,Sinopharm/Beijing,87
Argentina,13-02-2021,Sputnik V,628866
Argentina,14-02-2021,CanSino,3
Argentina,14-02-2021,Moderna,2
Argentina,14-02-2021,Oxford/AstraZeneca,153
Argentina,14-02-2021,Sinopharm/Beijing,89
Argentina,14-02-2021,Sputnik V,629016
Argentina,15-02-2021,CanSino,3
Argentina,15-02-2021,Moderna,2
Argentina,15-02-2021,Oxford/AstraZeneca,153
Argentina,15-02-2021,Sinopharm/Beijing,91
Argentina,15-02-2021,Sputnik V,630329
Argentina,16-02-2021,CanSino,3
Argentina,16-02-2021,Moderna,2
Argentina,16-02-2021,Oxford/AstraZeneca,165
Argentina,16-02-2021,Sinopharm/Beijing,93
Argentina,16-02-2021,Sputnik V,631626
Argentina,17-02-2021,CanSino,3
Argentina,17-02-2021,Moderna,2
Argentina,17-02-2021,Oxford/AstraZeneca,176
Argentina,17-02-2021,Sinopharm/Beijing,96
Argentina,17-02-2021,Sputnik V,655999
Argentina,18-02-2021,CanSino,3
Argentina,18-02-2021,Moderna,2
Argentina,18-02-2021,Oxford/AstraZeneca,207
Argentina,18-02-2021,Sinopharm/Beijing,100
Argentina,18-02-2021,Sputnik V,719771
Argentina,19-02-2021,CanSino,3
Argentina,19-02-2021,Moderna,2
Argentina,19-02-2021,Oxford/AstraZeneca,389
Argentina,19-02-2021,Sinopharm/Beijing,100
Argentina,19-02-2021,Sputnik V,787456
Argentina,20-02-2021,CanSino,3
Argentina,20-02-2021,Moderna,2
Argentina,20-02-2021,Oxford/AstraZeneca,537
Argentina,20-02-2021,Sinopharm/Beijing,101
Argentina,20-02-2021,Sputnik V,819921
Argentina,21-02-2021,CanSino,3
Argentina,21-02-2021,Moderna,2
Argentina,21-02-2021,Oxford/AstraZeneca,935
Argentina,21-02-2021,Sinopharm/Beijing,101
Argentina,21-02-2021,Sputnik V,839697
Argentina,22-02-2021,CanSino,3
Argentina,22-02-2021,Moderna,2
Argentina,22-02-2021,Oxford/AstraZeneca,23510
Argentina,22-02-2021,Sinopharm/Beijing,101
Argentina,22-02-2021,Sputnik V,884657
Argentina,23-02-2021,CanSino,3
Argentina,23-02-2021,Moderna,2
Argentina,23-02-2021,Oxford/AstraZeneca,73679
Argentina,23-02-2021,Sinopharm/Beijing,103
Argentina,23-02-2021,Sputnik V,921408
Argentina,24-02-2021,CanSino,3
Argentina,24-02-2021,Moderna,2
Argentina,24-02-2021,Oxford/AstraZeneca,135717
Argentina,24-02-2021,Sinopharm/Beijing,106
Argentina,24-02-2021,Sputnik V,953134
Argentina,25-02-2021,CanSino,3
Argentina,25-02-2021,Moderna,2
Argentina,25-02-2021,Oxford/AstraZeneca,188836
Argentina,25-02-2021,Sinopharm/Beijing,110
Argentina,25-02-2021,Sputnik V,979424
Argentina,26-02-2021,CanSino,3
Argentina,26-02-2021,Moderna,2
Argentina,26-02-2021,Oxford/AstraZeneca,244861
Argentina,26-02-2021,Sinopharm/Beijing,119
Argentina,26-02-2021,Sputnik V,1005040
Argentina,27-02-2021,CanSino,3
Argentina,27-02-2021,Moderna,2
Argentina,27-02-2021,Oxford/AstraZeneca,258184
Argentina,27-02-2021,Sinopharm/Beijing,120
Argentina,27-02-2021,Sputnik V,1009594
Argentina,28-02-2021,CanSino,3
Argentina,28-02-2021,Moderna,2
Argentina,28-02-2021,Oxford/AstraZeneca,263527
Argentina,28-02-2021,Sinopharm/Beijing,121
Argentina,28-02-2021,Sputnik V,1010370
Argentina,01-03-2021,CanSino,3
Argentina,01-03-2021,Moderna,2
Argentina,01-03-2021,Oxford/AstraZeneca,316821
Argentina,01-03-2021,Sinopharm/Beijing,823
Argentina,01-03-2021,Sputnik V,1030908
Argentina,02-03-2021,CanSino,3
Argentina,02-03-2021,Moderna,2
Argentina,02-03-2021,Oxford/AstraZeneca,368429
Argentina,02-03-2021,Sinopharm/Beijing,5775
Argentina,02-03-2021,Sputnik V,1049929
Argentina,03-03-2021,CanSino,3
Argentina,03-03-2021,Moderna,2
Argentina,03-03-2021,Oxford/AstraZeneca,404366
Argentina,03-03-2021,Sinopharm/Beijing,23601
Argentina,03-03-2021,Sputnik V,1067596
Argentina,04-03-2021,CanSino,3
Argentina,04-03-2021,Moderna,2
Argentina,04-03-2021,Oxford/AstraZeneca,430061
Argentina,04-03-2021,Sinopharm/Beijing,87899
Argentina,04-03-2021,Sputnik V,1089649
Argentina,05-03-2021,CanSino,3
Argentina,05-03-2021,Moderna,2
Argentina,05-03-2021,Oxford/AstraZeneca,454341
Argentina,05-03-2021,Sinopharm/Beijing,154403
Argentina,05-03-2021,Sputnik V,1110584
Argentina,06-03-2021,CanSino,3
Argentina,06-03-2021,Moderna,2
Argentina,06-03-2021,Oxford/AstraZeneca,462250
Argentina,06-03-2021,Sinopharm/Beijing,196825
Argentina,06-03-2021,Sputnik V,1115182
Argentina,07-03-2021,CanSino,3
Argentina,07-03-2021,Moderna,2
Argentina,07-03-2021,Oxford/AstraZeneca,467234
Argentina,07-03-2021,Sinopharm/Beijing,203265
Argentina,07-03-2021,Sputnik V,1115559
Argentina,08-03-2021,CanSino,3
Argentina,08-03-2021,Moderna,2
Argentina,08-03-2021,Oxford/AstraZeneca,498797
Argentina,08-03-2021,Pfizer/BioNTech,1
Argentina,08-03-2021,Sinopharm/Beijing,256191
Argentina,08-03-2021,Sputnik V,1133531
Argentina,09-03-2021,CanSino,3
Argentina,09-03-2021,Moderna,2
Argentina,09-03-2021,Oxford/AstraZeneca,515123
Argentina,09-03-2021,Pfizer/BioNTech,1
Argentina,09-03-2021,Sinopharm/Beijing,319299
Argentina,09-03-2021,Sputnik V,1169871
Argentina,10-03-2021,CanSino,3
Argentina,10-03-2021,Moderna,2
Argentina,10-03-2021,Oxford/AstraZeneca,527198
Argentina,10-03-2021,Pfizer/BioNTech,1
Argentina,10-03-2021,Sinopharm/Beijing,418012
Argentina,10-03-2021,Sputnik V,1223016
Argentina,11-03-2021,CanSino,3
Argentina,11-03-2021,Moderna,2
Argentina,11-03-2021,Oxford/AstraZeneca,537131
Argentina,11-03-2021,Pfizer/BioNTech,1
Argentina,11-03-2021,Sinopharm/Beijing,502877
Argentina,11-03-2021,Sputnik V,1315000
Argentina,12-03-2021,CanSino,3
Argentina,12-03-2021,Moderna,2
Argentina,12-03-2021,Oxford/AstraZeneca,544648
Argentina,12-03-2021,Pfizer/BioNTech,1
Argentina,12-03-2021,Sinopharm/Beijing,564007
Argentina,12-03-2021,Sputnik V,1407959
Argentina,13-03-2021,CanSino,3
Argentina,13-03-2021,Moderna,2
Argentina,13-03-2021,Oxford/AstraZeneca,547621
Argentina,13-03-2021,Pfizer/BioNTech,1
Argentina,13-03-2021,Sinopharm/Beijing,574509
Argentina,13-03-2021,Sputnik V,1440857
Argentina,14-03-2021,CanSino,3
Argentina,14-03-2021,Moderna,2
Argentina,14-03-2021,Oxford/AstraZeneca,547670
Argentina,14-03-2021,Pfizer/BioNTech,1
Argentina,14-03-2021,Sinopharm/Beijing,581164
Argentina,14-03-2021,Sputnik V,1443321
Argentina,15-03-2021,CanSino,3
Argentina,15-03-2021,Moderna,2
Argentina,15-03-2021,Oxford/AstraZeneca,554085
Argentina,15-03-2021,Pfizer/BioNTech,1
Argentina,15-03-2021,Sinopharm/Beijing,621768
Argentina,15-03-2021,Sputnik V,1533852
Argentina,16-03-2021,CanSino,3
Argentina,16-03-2021,Moderna,2
Argentina,16-03-2021,Oxford/AstraZeneca,557201
Argentina,16-03-2021,Pfizer/BioNTech,1
Argentina,16-03-2021,Sinopharm/Beijing,656429
Argentina,16-03-2021,Sputnik V,1629754
Argentina,17-03-2021,CanSino,3
Argentina,17-03-2021,Moderna,2
Argentina,17-03-2021,Oxford/AstraZeneca,559905
Argentina,17-03-2021,Pfizer/BioNTech,1
Argentina,17-03-2021,Sinopharm/Beijing,679387
Argentina,17-03-2021,Sputnik V,1743617
Argentina,18-03-2021,CanSino,3
Argentina,18-03-2021,Moderna,2
Argentina,18-03-2021,Oxford/AstraZeneca,561589
Argentina,18-03-2021,Pfizer/BioNTech,1
Argentina,18-03-2021,Sinopharm/Beijing,701526
Argentina,18-03-2021,Sputnik V,1858704
Argentina,19-03-2021,CanSino,3
Argentina,19-03-2021,Moderna,2
Argentina,19-03-2021,Oxford/AstraZeneca,563430
Argentina,19-03-2021,Pfizer/BioNTech,2
Argentina,19-03-2021,Sinopharm/Beijing,725122
Argentina,19-03-2021,Sputnik V,1959408
Argentina,20-03-2021,CanSino,3
Argentina,20-03-2021,Moderna,2
Argentina,20-03-2021,Oxford/AstraZeneca,563767
Argentina,20-03-2021,Pfizer/BioNTech,2
Argentina,20-03-2021,Sinopharm/Beijing,729059
Argentina,20-03-2021,Sputnik V,2005991
Argentina,21-03-2021,CanSino,3
Argentina,21-03-2021,Moderna,2
Argentina,21-03-2021,Oxford/AstraZeneca,563789
Argentina,21-03-2021,Pfizer/BioNTech,2
Argentina,21-03-2021,Sinopharm/Beijing,729408
Argentina,21-03-2021,Sputnik V,2025244
Argentina,22-03-2021,CanSino,3
Argentina,22-03-2021,Moderna,2
Argentina,22-03-2021,Oxford/AstraZeneca,565252
Argentina,22-03-2021,Pfizer/BioNTech,2
Argentina,22-03-2021,Sinopharm/Beijing,746793
Argentina,22-03-2021,Sputnik V,2089411
Argentina,23-03-2021,CanSino,3
Argentina,23-03-2021,Moderna,2
Argentina,23-03-2021,Oxford/AstraZeneca,569940
Argentina,23-03-2021,Pfizer/BioNTech,2
