daily_vaccinations,daily_vaccinations_per_million,Cluster
,,1
1367.0,34.0,1
1367.0,34.0,1
1367.0,34.0,1
1367.0,34.0,1
1367.0,34.0,1
1367.0,34.0,1
1580.0,40.0,1
1794.0,45.0,1
2008.0,50.0,1
2221.0,56.0,1
2435.0,61.0,1
2649.0,66.0,1
2862.0,72.0,1
2862.0,72.0,1
2862.0,72.0,1
2862.0,72.0,1
2862.0,72.0,1
2862.0,72.0,1
2862.0,72.0,1
2862.0,72.0,1
2862.0,72.0,1
2862.0,72.0,1
2882.0,72.0,1
2902.0,73.0,1
2921.0,73.0,1
2941.0,74.0,1
2961.0,74.0,1
2980.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3000.0,75.0,1
3714.0,93.0,1
4429.0,111.0,1
5143.0,129.0,1
5857.0,147.0,1
6571.0,165.0,1
7286.0,183.0,1
8000.0,201.0,1
8000.0,201.0,1
8000.0,201.0,1
8000.0,201.0,1
8000.0,201.0,1
8000.0,201.0,1
8000.0,201.0,1
8000.0,201.0,1
8000.0,201.0,1
8846.0,222.0,1
9692.0,243.0,1
10538.0,265.0,1
11384.0,286.0,1
12229.0,307.0,1
13075.0,328.0,1
13921.0,349.0,1
13921.0,349.0,1
13921.0,349.0,1
13921.0,349.0,1
13921.0,349.0,1
13921.0,349.0,1
13921.0,349.0,1
13921.0,349.0,1
13921.0,349.0,1
13921.0,349.0,1
13921.0,349.0,1
13921.0,349.0,1
13921.0,349.0,1
12621.0,317.0,1
11321.0,284.0,1
10022.0,252.0,1
8722.0,219.0,1
7422.0,186.0,1
6122.0,154.0,1
4822.0,121.0,1
4822.0,121.0,1
4822.0,121.0,1
5040.0,127.0,1
5257.0,132.0,1
5474.0,137.0,1
5692.0,143.0,1
6230.0,156.0,1
6768.0,170.0,1
6487.0,163.0,1
5907.0,148.0,1
5326.0,134.0,1
4746.0,119.0,1
5084.0,128.0,1
5102.0,128.0,1
5119.0,129.0,1
5285.0,133.0,1
5273.0,132.0,1
5261.0,132.0,1
5250.0,132.0,1
4319.0,108.0,1
3388.0,85.0,1
2637.0,66.0,1
2556.0,64.0,1
2735.0,69.0,1
2914.0,73.0,1
3093.0,78.0,1
3272.0,82.0,1
4813.0,121.0,1
6175.0,155.0,1
7538.0,189.0,1
8900.0,223.0,1
10262.0,258.0,1
11624.0,292.0,1
12986.0,326.0,1
12986.0,326.0,1
13125.0,329.0,1
13264.0,333.0,1
13404.0,336.0,1
13543.0,340.0,1
13682.0,343.0,1
14263.0,358.0,1
14844.0,373.0,1
15286.0,384.0,1
14115.0,354.0,1
12944.0,325.0,1
11773.0,296.0,1
10602.0,266.0,1
8989.0,226.0,1
7895.0,198.0,1
6801.0,171.0,1
6965.0,175.0,1
7128.0,179.0,1
7292.0,183.0,1
7455.0,187.0,1
9588.0,241.0,1
11201.0,281.0,1
12815.0,322.0,1
14331.0,360.0,1
15848.0,398.0,1
17364.0,436.0,1
18881.0,474.0,1
17753.0,446.0,1
16626.0,417.0,1
15499.0,389.0,1
14824.0,372.0,1
14150.0,355.0,1
13476.0,338.0,1
11132.0,279.0,1
9464.0,238.0,1
7795.0,196.0,1
6126.0,154.0,1
4457.0,112.0,1
2788.0,70.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
1119.0,28.0,1
11068.0,278.0,1
21017.0,528.0,1
30966.0,777.0,1
40914.0,1027.0,1
50863.0,1277.0,1
60812.0,1527.0,1
70761.0,1776.0,1
70761.0,1776.0,1
70761.0,1776.0,1
70761.0,1776.0,1
70761.0,1776.0,1
62509.0,1569.0,1
54257.0,1362.0,1
46006.0,1155.0,1
37754.0,948.0,1
29502.0,741.0,1
21251.0,533.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
12999.0,326.0,1
16376.0,411.0,1
19752.0,496.0,1
23129.0,581.0,1
26505.0,665.0,1
29882.0,750.0,1
33258.0,835.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
36635.0,920.0,1
33582.0,843.0,1
30529.0,766.0,1
27476.0,690.0,1
24423.0,613.0,1
21369.0,536.0,1
18316.0,460.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15263.0,383.0,1
15598.0,392.0,1
15932.0,400.0,1
16266.0,408.0,1
16601.0,417.0,1
16935.0,425.0,1
17269.0,434.0,1
17604.0,442.0,1
17604.0,442.0,1
17604.0,442.0,1
17604.0,442.0,1
17604.0,442.0,1
17604.0,442.0,1
17604.0,442.0,1
16642.0,418.0,1
15680.0,394.0,1
15287.0,384.0,1
14893.0,374.0,1
13458.0,338.0,1
12023.0,302.0,1
10588.0,266.0,1
10115.0,254.0,1
9920.0,249.0,1
9156.0,230.0,1
8235.0,207.0,1
8355.0,210.0,1
8475.0,213.0,1
8595.0,216.0,1
8715.0,219.0,1
9368.0,235.0,1
10021.0,252.0,1
9802.0,246.0,1
10176.0,255.0,1
10550.0,265.0,1
10925.0,274.0,1
11299.0,284.0,1
11228.0,282.0,1
11157.0,280.0,1
12025.0,302.0,1
12299.0,309.0,1
12573.0,316.0,1
12847.0,323.0,1
13122.0,329.0,1
13311.0,334.0,1
13501.0,339.0,1
13781.0,346.0,1
14061.0,353.0,1
14341.0,360.0,1
14621.0,367.0,1
14901.0,374.0,1
14939.0,375.0,1
14977.0,376.0,1
15015.0,377.0,1
15053.0,378.0,1
15091.0,379.0,1
15129.0,380.0,1
15509.0,389.0,1
15852.0,398.0,1
16194.0,407.0,1
16536.0,415.0,1
16879.0,424.0,1
17221.0,432.0,1
17564.0,441.0,1
16317.0,410.0,1
15071.0,378.0,1
